_id,Date,Gender,Player/Team 1 Name,Player/Team 2 Name,Winner Name,Round Number,Court Name,Tournament Name,Score,MatchType
5f21ebafe7362f484263249a,2015-08-06,Men,(7) Feliciano Lopez,Sam Groth,Sam Groth,Third Round,Grandstand,2015 ATP Citi Open,(3-6)(4-6),Singles
5f21ebafe7362f484263249b,2015-08-06,Men,Teymuraz Gabashvili,Ricardas Berankis,Ricardas Berankis,Third Round,Grandstand,2015 ATP Citi Open,(5-7)(4-6),Singles
5f21ebafe7362f484263249c,2015-08-06,Men,(16) Leonardo Mayer,(2) Kei Nishikori,(2) Kei Nishikori,Third Round,Stadium,2015 ATP Citi Open,(4-6)(4-6),Singles
5f21ebb0e7362f484263249d,2015-08-06,Men,(4) Richard Gasquet,(15) Jack Sock,(15) Jack Sock,Third Round,Stadium,2015 ATP Citi Open,(7-6)(6-7)(4-6),Singles
5f21ebb0e7362f484263249e,2015-08-06,Men,Steve Johnson,(6) Grigor Dimitrov,Steve Johnson,Third Round,Grandstand,2015 ATP Citi Open,(6-3)(1-6)(6-3),Singles
5f21ebb0e7362f484263249f,2015-08-06,Men,Alexander Zverev,Alexandr Dolgopolov,Alexander Zverev,Third Round,Grandstand 2,2015 ATP Citi Open,(2-6)(6-2)(0-0),Singles
5f21ebb0e7362f48426324a0,2015-08-06,Men,(13) Sam Querrey,(3) Marin Cilic,(3) Marin Cilic,Third Round,Stadium,2015 ATP Citi Open,(6-7)(6-7),Singles
5f21ebb0e7362f48426324a1,2015-08-06,Men,(12) Vasek Pospisil,(8) John Isner,(8) John Isner,Third Round,Stadium,2015 ATP Citi Open,(4-6)(6-7),Singles
5f21ebb3e7362f4842632516,2015-08-13,Men,Ernests Gulbis,Donald Young,Ernests Gulbis,Third Round,Banque National,2015 ATP Coupe Rogers,(6-4)(6-4),Singles
5f21ebb3e7362f4842632517,2015-08-13,Men,Bernard Tomic,(10) Jo-Wilfried Tsonga,(10) Jo-Wilfried Tsonga,Third Round,Banque National,2015 ATP Coupe Rogers,(6-7)(3-6),Singles
5f21ebb3e7362f4842632518,2015-08-13,Men,(7) Rafael Nadal,Mikhail Youzhny,(7) Rafael Nadal,Third Round,Court Central,2015 ATP Coupe Rogers,(6-3)(6-3),Singles
5f21ebb3e7362f4842632519,2015-08-13,Men,Jeremy Chardy,Ivo Karlovic,Jeremy Chardy,Third Round,Banque National,2015 ATP Coupe Rogers,(4-6)(7-6)(6-4),Singles
5f21ebb3e7362f484263251a,2015-08-13,Men,Nick Kyrgios,(16) John Isner,(16) John Isner,Third Round,Banque National,2015 ATP Coupe Rogers,(5-7)(3-6),Singles
5f21ebb3e7362f484263251b,2015-08-13,Men,Gilles Muller,(2) Andy Murray,(2) Andy Murray,Third Round,Court Central,2015 ATP Coupe Rogers,(3-6)(2-6),Singles
5f21ebb3e7362f484263251c,2015-08-13,Men,(13) David Goffin,(4) Kei Nishikori,(4) Kei Nishikori,Third Round,Court Central,2015 ATP Coupe Rogers,(4-6)(4-6),Singles
5f21ebb3e7362f484263251d,2015-08-13,Men,(1) Novak Djokovic,Jack Sock,(1) Novak Djokovic,Third Round,Court Central,2015 ATP Coupe Rogers,(6-2)(6-1),Singles
5f21ebb3e7362f484263251e,2015-08-13,Women,(13) Angelique Kerber,(2) Simona Halep,(2) Simona Halep,Third Round,Centre Court,2015 WTA Rogers Cup,(3-6)(7-5)(4-6),Singles
5f21ebb3e7362f484263251f,2015-08-13,Women,(1) Serena Williams,(16) Andrea Petkovic,(1) Serena Williams,Third Round,Centre Court,2015 WTA Rogers Cup,(6-3)(6-2),Singles
5f21ebb3e7362f4842632520,2015-08-13,Women,Belinda Bencic,Sabine Lisicki,Belinda Bencic,Third Round,Grandstand,2015 WTA Rogers Cup,(6-1)(1-6)(7-6),Singles
5f21ebb3e7362f4842632521,2015-08-13,Women,Roberta Vinci,Daria Gavrilova,Roberta Vinci,Third Round,Centre Court,2015 WTA Rogers Cup,(6-4)(6-3),Singles
5f21ebb3e7362f4842632522,2015-08-13,Women,(15) Sara Errani,Victoria Azarenka,(15) Sara Errani,Third Round,Centre Court,2015 WTA Rogers Cup,(7-5)(6-3),Singles
